ocel_event_id;ocel_IoT_object_id;ocel_qualifier
weigh_empty_tr3_Pcp89;WS06;Weight sensor for empty truck weighing
check_abnorm_tr3_Pcp89;rfidDRCUXI;RFID tag read at empty truck weighing
determine_continu_tr13_Pcp89_Silo18;Temp18;Temperature sensor for determining the pickup continuation
determine_continu_tr13_Pcp89_Silo18;Humd18;Humidity sensor for determining the pickup continuation
determine_continu_tr13_Pcp89_Silo18;GrainTemp52;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr13_Pcp89_Silo18;GrainTemp53;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr13_Pcp89_Silo18;GrainTemp54;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr3_Pcp89_Silo18;Temp18;Temperature sensor for determining the pickup continuation
determine_continu_tr3_Pcp89_Silo18;Humd18;Humidity sensor for determining the pickup continuation
determine_continu_tr3_Pcp89_Silo18;GrainTemp52;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr3_Pcp89_Silo18;GrainTemp53;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr3_Pcp89_Silo18;GrainTemp54;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr13_Pcp89;WS03;Weight sensor for loaded truck weighing
enter_tr34_Pcp338;rfidFMSUBE;RFID tag read at entrance
enter_tr50_Pcp338;rfidXXIVNB;RFID tag read at entrance
weigh_empty_tr34_Pcp338;WS20;Weight sensor for empty truck weighing
check_abnorm_tr34_Pcp338;rfidFMSUBE;RFID tag read at empty truck weighing
determine_continu_tr34_Pcp338_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr34_Pcp338_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr34_Pcp338_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr34_Pcp338_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr34_Pcp338_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr50_Pcp338;WS09;Weight sensor for empty truck weighing
check_abnorm_tr50_Pcp338;rfidXXIVNB;RFID tag read at empty truck weighing
determine_continu_tr50_Pcp338_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr50_Pcp338_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr50_Pcp338_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr50_Pcp338_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr50_Pcp338_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr3_Pcp89;WS10;Weight sensor for loaded truck weighing
weigh_loaded_tr34_Pcp338;WS07;Weight sensor for loaded truck weighing
weigh_loaded_tr50_Pcp338;WS03;Weight sensor for loaded truck weighing
enter_tr29_Pcp69;rfidOIGYVC;RFID tag read at entrance
enter_tr11_Pcp228;rfidSCPJCE;RFID tag read at entrance
enter_tr21_Pcp228;rfidTLWXGZ;RFID tag read at entrance
enter_tr39_Pcp169;rfidYGABPB;RFID tag read at entrance
enter_tr9_Pcp415;rfidKEBJGC;RFID tag read at entrance
enter_tr38_Pcp69;rfidVIASXP;RFID tag read at entrance
enter_tr10_Pcp385;rfidOOVDPE;RFID tag read at entrance
enter_tr44_Pcp169;rfidJRRVME;RFID tag read at entrance
enter_tr35_Pcp385;rfidPODCVH;RFID tag read at entrance
weigh_empty_tr9_Pcp415;WS03;Weight sensor for empty truck weighing
enter_tr23_Pcp468;rfidKGKHYU;RFID tag read at entrance
weigh_empty_tr39_Pcp169;WS17;Weight sensor for empty truck weighing
check_abnorm_tr9_Pcp415;rfidKEBJGC;RFID tag read at empty truck weighing
enter_tr46_Pcp190;rfidEJHYOM;RFID tag read at entrance
enter_tr43_Pcp468;rfidGETQDY;RFID tag read at entrance
check_abnorm_tr39_Pcp169;rfidYGABPB;RFID tag read at empty truck weighing
enter_tr26_Pcp415;rfidNQRMLR;RFID tag read at entrance
weigh_empty_tr11_Pcp228;WS06;Weight sensor for empty truck weighing
weigh_empty_tr21_Pcp228;WS03;Weight sensor for empty truck weighing
check_abnorm_tr21_Pcp228;rfidTLWXGZ;RFID tag read at empty truck weighing
check_abnorm_tr11_Pcp228;rfidSCPJCE;RFID tag read at empty truck weighing
enter_tr45_Pcp146;rfidSLQPDR;RFID tag read at entrance
weigh_empty_tr44_Pcp169;WS16;Weight sensor for empty truck weighing
enter_tr27_Pcp190;rfidWOMLHU;RFID tag read at entrance
enter_tr33_Pcp146;rfidMVJRXE;RFID tag read at entrance
weigh_empty_tr10_Pcp385;WS19;Weight sensor for empty truck weighing
determine_continu_tr11_Pcp228_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr11_Pcp228_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr11_Pcp228_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr11_Pcp228_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr11_Pcp228_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
check_abnorm_tr44_Pcp169;rfidJRRVME;RFID tag read at empty truck weighing
weigh_empty_tr43_Pcp468;WS15;Weight sensor for empty truck weighing
check_abnorm_tr10_Pcp385;rfidOOVDPE;RFID tag read at empty truck weighing
weigh_empty_tr26_Pcp415;WS14;Weight sensor for empty truck weighing
check_abnorm_tr43_Pcp468;rfidGETQDY;RFID tag read at empty truck weighing
weigh_empty_tr35_Pcp385;WS09;Weight sensor for empty truck weighing
check_abnorm_tr35_Pcp385;rfidPODCVH;RFID tag read at empty truck weighing
enter_tr6_Pcp119;rfidQSKZVB;RFID tag read at entrance
enter_tr5_Pcp245;rfidSVWFVZ;RFID tag read at entrance
determine_continu_tr21_Pcp228_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr21_Pcp228_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr21_Pcp228_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr21_Pcp228_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr21_Pcp228_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
enter_tr8_Pcp234;rfidCEZEBQ;RFID tag read at entrance
check_abnorm_tr26_Pcp415;rfidNQRMLR;RFID tag read at empty truck weighing
determine_continu_tr39_Pcp169_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr39_Pcp169_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr39_Pcp169_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr39_Pcp169_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr39_Pcp169_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
enter_tr19_Pcp119;rfidRCKRLL;RFID tag read at entrance
enter_tr25_Pcp110;rfidMFTSWW;RFID tag read at entrance
enter_tr40_Pcp245;rfidZEKWJR;RFID tag read at entrance
enter_tr37_Pcp81;rfidUSNSHC;RFID tag read at entrance
determine_continu_tr9_Pcp415_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr9_Pcp415_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr9_Pcp415_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr9_Pcp415_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr9_Pcp415_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
enter_tr15_Pcp234;rfidIDWLCS;RFID tag read at entrance
weigh_empty_tr45_Pcp146;WS12;Weight sensor for empty truck weighing
weigh_empty_tr33_Pcp146;WS05;Weight sensor for empty truck weighing
check_abnorm_tr33_Pcp146;rfidMVJRXE;RFID tag read at empty truck weighing
check_abnorm_tr45_Pcp146;rfidSLQPDR;RFID tag read at empty truck weighing
weigh_empty_tr38_Pcp69;WS14;Weight sensor for empty truck weighing
weigh_empty_tr8_Pcp234;WS09;Weight sensor for empty truck weighing
check_abnorm_tr38_Pcp69;rfidVIASXP;RFID tag read at empty truck weighing
enter_tr4_Pcp287;rfidTGNSNI;RFID tag read at entrance
determine_continu_tr44_Pcp169_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr44_Pcp169_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr44_Pcp169_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr44_Pcp169_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr44_Pcp169_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
check_abnorm_tr8_Pcp234;rfidCEZEBQ;RFID tag read at empty truck weighing
weigh_empty_tr27_Pcp190;WS12;Weight sensor for empty truck weighing
determine_continu_tr33_Pcp146_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr33_Pcp146_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr33_Pcp146_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr33_Pcp146_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr33_Pcp146_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr5_Pcp245;WS06;Weight sensor for empty truck weighing
weigh_empty_tr6_Pcp119;WS08;Weight sensor for empty truck weighing
enter_tr18_Pcp110;rfidEGNSMV;RFID tag read at entrance
weigh_empty_tr29_Pcp69;WS01;Weight sensor for empty truck weighing
enter_tr32_Pcp287;rfidQCYTDW;RFID tag read at entrance
check_abnorm_tr6_Pcp119;rfidQSKZVB;RFID tag read at empty truck weighing
check_abnorm_tr5_Pcp245;rfidSVWFVZ;RFID tag read at empty truck weighing
weigh_empty_tr46_Pcp190;WS08;Weight sensor for empty truck weighing
weigh_loaded_tr11_Pcp228;WS13;Weight sensor for loaded truck weighing
check_abnorm_tr29_Pcp69;rfidOIGYVC;RFID tag read at empty truck weighing
determine_continu_tr45_Pcp146_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr45_Pcp146_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr45_Pcp146_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr45_Pcp146_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr45_Pcp146_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr26_Pcp415_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr26_Pcp415_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr26_Pcp415_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr26_Pcp415_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr26_Pcp415_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
enter_tr31_Pcp105;rfidJDEWMH;RFID tag read at entrance
check_abnorm_tr27_Pcp190;rfidWOMLHU;RFID tag read at empty truck weighing
weigh_empty_tr23_Pcp468;WS06;Weight sensor for empty truck weighing
enter_tr49_Pcp258;rfidNJSWIM;RFID tag read at entrance
enter_tr30_Pcp128;rfidCBMLGM;RFID tag read at entrance
enter_tr7_Pcp258;rfidXNPCXE;RFID tag read at entrance
check_abnorm_tr23_Pcp468;rfidKGKHYU;RFID tag read at empty truck weighing
determine_continu_tr38_Pcp69_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr38_Pcp69_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr38_Pcp69_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr38_Pcp69_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr38_Pcp69_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
check_abnorm_tr46_Pcp190;rfidEJHYOM;RFID tag read at empty truck weighing
enter_tr17_Pcp81;rfidVYEBVG;RFID tag read at entrance
weigh_empty_tr40_Pcp245;WS01;Weight sensor for empty truck weighing
check_abnorm_tr40_Pcp245;rfidZEKWJR;RFID tag read at empty truck weighing
weigh_empty_tr4_Pcp287;WS07;Weight sensor for empty truck weighing
enter_tr14_Pcp404;rfidYREIDQ;RFID tag read at entrance
weigh_loaded_tr21_Pcp228;WS05;Weight sensor for loaded truck weighing
weigh_empty_tr30_Pcp128;WS13;Weight sensor for empty truck weighing
enter_tr24_Pcp82;rfidPCMKUV;RFID tag read at entrance
check_abnorm_tr4_Pcp287;rfidTGNSNI;RFID tag read at empty truck weighing
enter_tr28_Pcp105;rfidUOOSAQ;RFID tag read at entrance
enter_tr1_Pcp404;rfidBKTRLP;RFID tag read at entrance
weigh_empty_tr31_Pcp105;WS07;Weight sensor for empty truck weighing
weigh_empty_tr25_Pcp110;WS11;Weight sensor for empty truck weighing
determine_continu_tr5_Pcp245_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr5_Pcp245_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr5_Pcp245_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr5_Pcp245_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr5_Pcp245_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr15_Pcp234;WS05;Weight sensor for empty truck weighing
weigh_loaded_tr44_Pcp169;WS20;Weight sensor for loaded truck weighing
check_abnorm_tr31_Pcp105;rfidJDEWMH;RFID tag read at empty truck weighing
enter_tr16_Pcp440;rfidIICVAH;RFID tag read at entrance
check_abnorm_tr30_Pcp128;rfidCBMLGM;RFID tag read at empty truck weighing
check_abnorm_tr15_Pcp234;rfidIDWLCS;RFID tag read at empty truck weighing
determine_continu_tr8_Pcp234_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr8_Pcp234_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr8_Pcp234_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr8_Pcp234_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr8_Pcp234_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
check_abnorm_tr25_Pcp110;rfidMFTSWW;RFID tag read at empty truck weighing
weigh_empty_tr18_Pcp110;WS15;Weight sensor for empty truck weighing
weigh_empty_tr37_Pcp81;WS07;Weight sensor for empty truck weighing
enter_tr42_Pcp440;rfidLEEHFK;RFID tag read at entrance
check_abnorm_tr18_Pcp110;rfidEGNSMV;RFID tag read at empty truck weighing
check_abnorm_tr37_Pcp81;rfidUSNSHC;RFID tag read at empty truck weighing
weigh_empty_tr32_Pcp287;WS05;Weight sensor for empty truck weighing
determine_continu_tr4_Pcp287_Silo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continu_tr4_Pcp287_Silo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continu_tr4_Pcp287_Silo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr4_Pcp287_Silo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr4_Pcp287_Silo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp119_Silo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp119_Silo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continu_tr6_Pcp119_Silo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp119_Silo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp119_Silo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr46_Pcp190_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr46_Pcp190_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr46_Pcp190_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr46_Pcp190_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr46_Pcp190_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr16_Pcp440;WS06;Weight sensor for empty truck weighing
check_abnorm_tr32_Pcp287;rfidQCYTDW;RFID tag read at empty truck weighing
check_abnorm_tr16_Pcp440;rfidIICVAH;RFID tag read at empty truck weighing
determine_continu_tr31_Pcp105_Silo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continu_tr31_Pcp105_Silo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continu_tr31_Pcp105_Silo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr31_Pcp105_Silo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr31_Pcp105_Silo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr7_Pcp258;WS03;Weight sensor for empty truck weighing
determine_continu_tr29_Pcp69_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr29_Pcp69_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr29_Pcp69_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr29_Pcp69_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr29_Pcp69_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr30_Pcp128_Silo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continu_tr30_Pcp128_Silo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continu_tr30_Pcp128_Silo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr30_Pcp128_Silo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr30_Pcp128_Silo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
check_abnorm_tr7_Pcp258;rfidXNPCXE;RFID tag read at empty truck weighing
determine_continu_tr23_Pcp468_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr23_Pcp468_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr23_Pcp468_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr23_Pcp468_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr23_Pcp468_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
enter_tr20_Pcp82;rfidXPDNSC;RFID tag read at entrance
weigh_empty_tr49_Pcp258;WS05;Weight sensor for empty truck weighing
weigh_empty_tr19_Pcp119;WS18;Weight sensor for empty truck weighing
check_abnorm_tr49_Pcp258;rfidNJSWIM;RFID tag read at empty truck weighing
check_abnorm_tr19_Pcp119;rfidRCKRLL;RFID tag read at empty truck weighing
weigh_empty_tr1_Pcp404;WS07;Weight sensor for empty truck weighing
check_abnorm_tr1_Pcp404;rfidBKTRLP;RFID tag read at empty truck weighing
determine_continu_tr7_Pcp258_Silo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continu_tr7_Pcp258_Silo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continu_tr7_Pcp258_Silo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr7_Pcp258_Silo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr7_Pcp258_Silo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr17_Pcp81;WS19;Weight sensor for empty truck weighing
weigh_empty_tr14_Pcp404;WS08;Weight sensor for empty truck weighing
weigh_loaded_tr33_Pcp146;WS01;Weight sensor for loaded truck weighing
weigh_empty_tr24_Pcp82;WS18;Weight sensor for empty truck weighing
weigh_empty_tr42_Pcp440;WS04;Weight sensor for empty truck weighing
determine_continu_tr32_Pcp287_Silo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continu_tr32_Pcp287_Silo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continu_tr32_Pcp287_Silo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr32_Pcp287_Silo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr32_Pcp287_Silo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr15_Pcp234_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr15_Pcp234_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr15_Pcp234_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr15_Pcp234_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr15_Pcp234_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
check_abnorm_tr42_Pcp440;rfidLEEHFK;RFID tag read at empty truck weighing
check_abnorm_tr14_Pcp404;rfidYREIDQ;RFID tag read at empty truck weighing
check_abnorm_tr24_Pcp82;rfidPCMKUV;RFID tag read at empty truck weighing
determine_continu_tr27_Pcp190_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr27_Pcp190_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr27_Pcp190_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr27_Pcp190_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr27_Pcp190_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
check_abnorm_tr17_Pcp81;rfidVYEBVG;RFID tag read at empty truck weighing
determine_continu_tr25_Pcp110_Silo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continu_tr25_Pcp110_Silo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continu_tr25_Pcp110_Silo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr25_Pcp110_Silo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr25_Pcp110_Silo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr40_Pcp245_Silo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continu_tr40_Pcp245_Silo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continu_tr40_Pcp245_Silo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr40_Pcp245_Silo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr40_Pcp245_Silo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr49_Pcp258_Silo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continu_tr49_Pcp258_Silo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continu_tr49_Pcp258_Silo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr49_Pcp258_Silo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr49_Pcp258_Silo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr4_Pcp287;WS20;Weight sensor for loaded truck weighing
determine_continu_tr42_Pcp440_Silo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continu_tr42_Pcp440_Silo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continu_tr42_Pcp440_Silo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr42_Pcp440_Silo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr42_Pcp440_Silo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr24_Pcp82_Silo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continu_tr24_Pcp82_Silo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continu_tr24_Pcp82_Silo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
