ocel_source_id;ocel_target_id;ocel_qualifier;ocel_time
Pcp105;Cr5;Lodged pickup plan for cargo;2024-04-30 13:36:51
Pcp290;Cr15;Lodged pickup plan for cargo;2024-04-30 14:04:16
Pcp296;Cr12;Lodged pickup plan for cargo;2024-04-30 14:27:09
Pcp161;Cr6;Lodged pickup plan for cargo;2024-04-30 14:33:11
Pcp240;Cr2;Lodged pickup plan for cargo;2024-04-30 14:41:52
Pcp415;Cr7;Lodged pickup plan for cargo;2024-04-30 14:57:38
Pcp270;Cr17;Lodged pickup plan for cargo;2024-04-30 15:18:06
Pcp170;Cr18;Lodged pickup plan for cargo;2024-04-30 15:19:37
Pcp226;Cr10;Lodged pickup plan for cargo;2024-04-30 15:27:32
Pcp103;Cr20;Lodged pickup plan for cargo;2024-04-30 17:33:53
Pcp4;Cr19;Lodged pickup plan for cargo;2024-04-30 17:36:07
Pcp73;Cr9;Lodged pickup plan for cargo;2024-04-30 17:50:30
Pcp14;Cr11;Lodged pickup plan for cargo;2024-04-30 19:51:54
Pcp396;Cr4;Lodged pickup plan for cargo;2024-04-30 20:18:18
Pcp451;Cr14;Lodged pickup plan for cargo;2024-04-30 21:06:46
Pcp126;Cr13;Lodged pickup plan for cargo;2024-04-30 23:03:30
Pcp365;Cr3;Lodged pickup plan for cargo;2024-04-30 23:08:45
Pcp151;Cr18;Lodged pickup plan for cargo;2024-04-30 23:50:58
Pcp35;Cr1;Lodged pickup plan for cargo;2024-04-30 23:53:42
Pcp85;Cr8;Lodged pickup plan for cargo;2024-05-01 00:16:48
Pcp258;Cr5;Lodged pickup plan for cargo;2024-05-01 02:02:00
Pcp7;Cr16;Lodged pickup plan for cargo;2024-05-01 02:39:58
Pcp76;Cr19;Lodged pickup plan for cargo;2024-05-01 02:55:02
Pcp284;Cr11;Lodged pickup plan for cargo;2024-05-01 06:08:30
Pcp48;Cr2;Lodged pickup plan for cargo;2024-05-01 06:08:48
Pcp433;Cr12;Lodged pickup plan for cargo;2024-05-01 06:13:10
Pcp155;Cr20;Lodged pickup plan for cargo;2024-05-01 08:41:26
Pcp403;Cr3;Lodged pickup plan for cargo;2024-05-01 09:05:45
Pcp88;Cr14;Lodged pickup plan for cargo;2024-05-01 09:46:16
Pcp436;Cr1;Lodged pickup plan for cargo;2024-05-01 09:54:33
Pcp158;Cr10;Lodged pickup plan for cargo;2024-05-01 10:44:55
Pcp93;Cr9;Lodged pickup plan for cargo;2024-05-01 10:51:04
Pcp468;Cr7;Lodged pickup plan for cargo;2024-05-01 11:45:53
Pcp249;Cr18;Lodged pickup plan for cargo;2024-05-01 12:59:37
Pcp56;Cr15;Lodged pickup plan for cargo;2024-05-01 13:47:54
Pcp306;Cr17;Lodged pickup plan for cargo;2024-05-01 14:26:37
Pcp70;Cr8;Lodged pickup plan for cargo;2024-05-01 16:07:22
Pcp217;Cr19;Lodged pickup plan for cargo;2024-05-01 16:19:48
Pcp185;Cr4;Lodged pickup plan for cargo;2024-05-01 16:23:43
Pcp466;Cr16;Lodged pickup plan for cargo;2024-05-01 17:06:13
Pcp369;Cr6;Lodged pickup plan for cargo;2024-05-01 17:39:57
Pcp379;Cr14;Lodged pickup plan for cargo;2024-05-01 18:15:03
Pcp1;Cr13;Lodged pickup plan for cargo;2024-05-01 20:01:22
Pcp253;Cr12;Lodged pickup plan for cargo;2024-05-01 20:05:29
Pcp82;Cr5;Lodged pickup plan for cargo;2024-05-01 20:57:20
Pcp342;Cr3;Lodged pickup plan for cargo;2024-05-01 22:13:20
Pcp338;Cr7;Lodged pickup plan for cargo;2024-05-01 22:23:24
Pcp209;Cr18;Lodged pickup plan for cargo;2024-05-01 22:30:17
Pcp498;Cr9;Lodged pickup plan for cargo;2024-05-01 23:48:50
Pcp168;Cr2;Lodged pickup plan for cargo;2024-05-02 00:58:34
Pcp459;Cr11;Lodged pickup plan for cargo;2024-05-02 02:04:21
Pcp211;Cr19;Lodged pickup plan for cargo;2024-05-02 02:53:54
Pcp343;Cr10;Lodged pickup plan for cargo;2024-05-02 03:19:01
Pcp404;Cr5;Lodged pickup plan for cargo;2024-05-02 04:12:56
Pcp419;Cr15;Lodged pickup plan for cargo;2024-05-02 04:47:09
Pcp346;Cr8;Lodged pickup plan for cargo;2024-05-02 04:49:11
Pcp36;Cr16;Lodged pickup plan for cargo;2024-05-02 05:53:25
Pcp330;Cr20;Lodged pickup plan for cargo;2024-05-02 05:53:37
Pcp220;Cr1;Lodged pickup plan for cargo;2024-05-02 06:24:28
Pcp464;Cr17;Lodged pickup plan for cargo;2024-05-02 06:26:21
Pcp34;Cr12;Lodged pickup plan for cargo;2024-05-02 06:44:51
Pcp146;Cr7;Lodged pickup plan for cargo;2024-05-02 06:46:22
Pcp339;Cr4;Lodged pickup plan for cargo;2024-05-02 08:57:38
Pcp487;Cr9;Lodged pickup plan for cargo;2024-05-02 09:10:47
Pcp374;Cr6;Lodged pickup plan for cargo;2024-05-02 09:28:11
Pcp438;Cr11;Lodged pickup plan for cargo;2024-05-02 10:24:36
Pcp99;Cr2;Lodged pickup plan for cargo;2024-05-02 10:49:15
Pcp367;Cr14;Lodged pickup plan for cargo;2024-05-02 12:53:07
Pcp228;Cr7;Lodged pickup plan for cargo;2024-05-02 14:08:42
Pcp205;Cr3;Lodged pickup plan for cargo;2024-05-02 14:22:04
Pcp166;Cr13;Lodged pickup plan for cargo;2024-05-02 16:04:10
Pcp311;Cr12;Lodged pickup plan for cargo;2024-05-02 16:32:00
Pcp174;Cr18;Lodged pickup plan for cargo;2024-05-02 16:58:06
Pcp77;Cr6;Lodged pickup plan for cargo;2024-05-02 17:32:45
Pcp431;Cr11;Lodged pickup plan for cargo;2024-05-02 18:25:44
Pcp495;Cr1;Lodged pickup plan for cargo;2024-05-02 19:11:34
Pcp450;Cr2;Lodged pickup plan for cargo;2024-05-02 19:54:50
Pcp38;Cr9;Lodged pickup plan for cargo;2024-05-02 19:57:19
Pcp198;Cr16;Lodged pickup plan for cargo;2024-05-02 20:33:09
Pcp469;Cr8;Lodged pickup plan for cargo;2024-05-02 21:24:39
Pcp190;Cr7;Lodged pickup plan for cargo;2024-05-02 22:11:30
Pcp440;Cr5;Lodged pickup plan for cargo;2024-05-02 22:35:50
Pcp214;Cr10;Lodged pickup plan for cargo;2024-05-02 23:32:39
tr7;Pcp35;Assigned truck for pickup plan;2024-05-02 23:55:44
tr38;Pcp35;Assigned truck for pickup plan;2024-05-02 23:57:49
Silo3;tr38;Aranged silo for truck;2024-05-03 00:10:49
Silo3;tr7;Aranged silo for truck;2024-05-03 00:12:05
tr38;Silo3;Truck determined for continuing pickup at silo;2024-05-03 00:16:02
tr7;Silo3;Truck determined for continuing pickup at silo;2024-05-03 00:17:47
tr7;Pcp35;Dropped truck from pickup plan;2024-05-03 00:48:36
tr38;Pcp35;Dropped truck from pickup plan;2024-05-03 01:02:31
Pcp224;Cr14;Lodged pickup plan for cargo;2024-05-03 01:39:50
Pcp443;Cr20;Lodged pickup plan for cargo;2024-05-03 03:17:20
Pcp22;Cr13;Lodged pickup plan for cargo;2024-05-03 03:37:59
Pcp252;Cr15;Lodged pickup plan for cargo;2024-05-03 03:38:51
Pcp279;Cr19;Lodged pickup plan for cargo;2024-05-03 05:17:38
Pcp482;Cr2;Lodged pickup plan for cargo;2024-05-03 05:59:02
Pcp460;Cr4;Lodged pickup plan for cargo;2024-05-03 06:19:21
Pcp221;Cr3;Lodged pickup plan for cargo;2024-05-03 06:24:43
Pcp162;Cr11;Lodged pickup plan for cargo;2024-05-03 06:25:26
Pcp287;Cr5;Lodged pickup plan for cargo;2024-05-03 08:08:36
Pcp421;Cr8;Lodged pickup plan for cargo;2024-05-03 08:21:54
Pcp117;Cr12;Lodged pickup plan for cargo;2024-05-03 08:33:46
tr17;Pcp88;Assigned truck for pickup plan;2024-05-03 09:47:57
tr6;Pcp88;Assigned truck for pickup plan;2024-05-03 09:48:34
Pcp182;Cr17;Lodged pickup plan for cargo;2024-05-03 09:58:10
Silo4;tr17;Aranged silo for truck;2024-05-03 10:04:31
tr17;Silo4;Truck determined for continuing pickup at silo;2024-05-03 10:06:32
Pcp234;Cr7;Lodged pickup plan for cargo;2024-05-03 10:07:02
Silo4;tr6;Aranged silo for truck;2024-05-03 10:10:24
tr6;Silo4;Truck determined for continuing pickup at silo;2024-05-03 10:23:40
Pcp389;Cr6;Lodged pickup plan for cargo;2024-05-03 10:52:21
tr17;Pcp88;Dropped truck from pickup plan;2024-05-03 10:52:47
Pcp186;Cr10;Lodged pickup plan for cargo;2024-05-03 10:53:06
tr6;Pcp88;Dropped truck from pickup plan;2024-05-03 11:08:00
Pcp124;Cr9;Lodged pickup plan for cargo;2024-05-03 11:43:22
Pcp447;Cr18;Lodged pickup plan for cargo;2024-05-03 13:11:46
Pcp410;Cr4;Lodged pickup plan for cargo;2024-05-03 14:19:33
Pcp177;Cr20;Lodged pickup plan for cargo;2024-05-03 14:30:49
Pcp428;Cr1;Lodged pickup plan for cargo;2024-05-03 14:43:45
Pcp94;Cr14;Lodged pickup plan for cargo;2024-05-03 15:05:46
Pcp271;Cr8;Lodged pickup plan for cargo;2024-05-03 15:48:43
Pcp248;Cr2;Lodged pickup plan for cargo;2024-05-03 16:56:07
Pcp411;Cr15;Lodged pickup plan for cargo;2024-05-03 17:37:32
Pcp196;Cr19;Lodged pickup plan for cargo;2024-05-03 18:38:48
Pcp479;Cr13;Lodged pickup plan for cargo;2024-05-03 20:24:39
Pcp281;Cr16;Lodged pickup plan for cargo;2024-05-03 20:27:18
Pcp121;Cr11;Lodged pickup plan for cargo;2024-05-03 20:27:42
Pcp81;Cr5;Lodged pickup plan for cargo;2024-05-03 21:43:09
Pcp197;Cr12;Lodged pickup plan for cargo;2024-05-03 22:08:47
Pcp223;Cr14;Lodged pickup plan for cargo;2024-05-03 22:17:38
Pcp230;Cr1;Lodged pickup plan for cargo;2024-05-03 22:37:17
Pcp314;Cr9;Lodged pickup plan for cargo;2024-05-03 22:55:47
Pcp414;Cr17;Lodged pickup plan for cargo;2024-05-04 01:02:33
Pcp397;Cr19;Lodged pickup plan for cargo;2024-05-04 01:41:09
Pcp72;Cr3;Lodged pickup plan for cargo;2024-05-04 02:58:12
Pcp427;Cr2;Lodged pickup plan for cargo;2024-05-04 03:41:01
Pcp327;Cr10;Lodged pickup plan for cargo;2024-05-04 03:41:29
Pcp169;Cr7;Lodged pickup plan for cargo;2024-05-04 04:38:05
Pcp128;Cr5;Lodged pickup plan for cargo;2024-05-04 05:05:07
Pcp20;Cr20;Lodged pickup plan for cargo;2024-05-04 05:13:01
Pcp430;Cr12;Lodged pickup plan for cargo;2024-05-04 05:18:03
tr13;Pcp89;Assigned truck for pickup plan;2024-05-04 05:54:53
tr3;Pcp89;Assigned truck for pickup plan;2024-05-04 05:57:19
Silo18;tr13;Aranged silo for truck;2024-05-04 06:04:51
tr13;Silo18;Truck determined for continuing pickup at silo;2024-05-04 06:08:14
Silo18;tr3;Aranged silo for truck;2024-05-04 06:09:12
tr3;Silo18;Truck determined for continuing pickup at silo;2024-05-04 06:15:38
Pcp452;Cr8;Lodged pickup plan for cargo;2024-05-04 06:19:42
tr13;Pcp89;Dropped truck from pickup plan;2024-05-04 06:33:22
Pcp341;Cr4;Lodged pickup plan for cargo;2024-05-04 06:34:42
tr34;Pcp338;Assigned truck for pickup plan;2024-05-04 06:48:42
tr50;Pcp338;Assigned truck for pickup plan;2024-05-04 06:51:01
Silo11;tr34;Aranged silo for truck;2024-05-04 07:03:32
tr34;Silo11;Truck determined for continuing pickup at silo;2024-05-04 07:11:18
Silo11;tr50;Aranged silo for truck;2024-05-04 07:26:47
tr50;Silo11;Truck determined for continuing pickup at silo;2024-05-04 07:29:46
tr3;Pcp89;Dropped truck from pickup plan;2024-05-04 07:51:12
tr34;Pcp338;Dropped truck from pickup plan;2024-05-04 08:08:42
Pcp354;Cr9;Lodged pickup plan for cargo;2024-05-04 08:08:57
Pcp467;Cr6;Lodged pickup plan for cargo;2024-05-04 08:27:31
tr50;Pcp338;Dropped truck from pickup plan;2024-05-04 09:11:20
Pcp23;Cr13;Lodged pickup plan for cargo;2024-05-04 09:46:04
Pcp179;Cr15;Lodged pickup plan for cargo;2024-05-04 10:12:39
Pcp432;Cr11;Lodged pickup plan for cargo;2024-05-04 11:57:58
Pcp213;Cr2;Lodged pickup plan for cargo;2024-05-04 12:39:02
Pcp64;Cr18;Lodged pickup plan for cargo;2024-05-04 13:14:42
Pcp423;Cr4;Lodged pickup plan for cargo;2024-05-04 13:43:47
Pcp293;Cr8;Lodged pickup plan for cargo;2024-05-04 14:06:28
Pcp171;Cr17;Lodged pickup plan for cargo;2024-05-04 19:40:44
Pcp207;Cr20;Lodged pickup plan for cargo;2024-05-04 21:07:47
Pcp470;Cr6;Lodged pickup plan for cargo;2024-05-04 21:13:54
Pcp74;Cr16;Lodged pickup plan for cargo;2024-05-05 00:15:32
Pcp113;Cr3;Lodged pickup plan for cargo;2024-05-05 00:44:39
Pcp476;Cr15;Lodged pickup plan for cargo;2024-05-05 01:07:44
Pcp285;Cr19;Lodged pickup plan for cargo;2024-05-05 01:37:51
Pcp275;Cr4;Lodged pickup plan for cargo;2024-05-05 01:51:26
Pcp336;Cr14;Lodged pickup plan for cargo;2024-05-05 02:40:57
Pcp104;Cr13;Lodged pickup plan for cargo;2024-05-05 02:51:20
Pcp334;Cr1;Lodged pickup plan for cargo;2024-05-05 03:07:11
Pcp153;Cr9;Lodged pickup plan for cargo;2024-05-05 03:09:43
Pcp363;Cr2;Lodged pickup plan for cargo;2024-05-05 03:58:17
Pcp204;Cr18;Lodged pickup plan for cargo;2024-05-05 05:07:15
Pcp383;Cr12;Lodged pickup plan for cargo;2024-05-05 05:15:04
Pcp398;Cr20;Lodged pickup plan for cargo;2024-05-05 06:44:48
Pcp194;Cr8;Lodged pickup plan for cargo;2024-05-05 07:46:14
Pcp202;Cr10;Lodged pickup plan for cargo;2024-05-05 08:10:02
Pcp370;Cr17;Lodged pickup plan for cargo;2024-05-05 10:43:02
Pcp49;Cr15;Lodged pickup plan for cargo;2024-05-05 12:39:20
Pcp435;Cr16;Lodged pickup plan for cargo;2024-05-05 12:57:48
Pcp163;Cr13;Lodged pickup plan for cargo;2024-05-05 13:50:31
Pcp303;Cr6;Lodged pickup plan for cargo;2024-05-05 19:33:47
Pcp263;Cr17;Lodged pickup plan for cargo;2024-05-05 20:48:40
Pcp388;Cr1;Lodged pickup plan for cargo;2024-05-05 20:49:37
Pcp362;Cr20;Lodged pickup plan for cargo;2024-05-05 21:31:54
Pcp456;Cr19;Lodged pickup plan for cargo;2024-05-05 21:43:16
Pcp309;Cr3;Lodged pickup plan for cargo;2024-05-05 22:41:58
Pcp193;Cr18;Lodged pickup plan for cargo;2024-05-06 00:54:57
Pcp478;Cr15;Lodged pickup plan for cargo;2024-05-06 03:29:54
tr29;Pcp69;Assigned truck for pickup plan;2024-05-06 04:39:48
tr38;Pcp69;Assigned truck for pickup plan;2024-05-06 04:40:15
tr26;Pcp415;Assigned truck for pickup plan;2024-05-06 04:44:36
tr9;Pcp415;Assigned truck for pickup plan;2024-05-06 04:44:53
tr11;Pcp228;Assigned truck for pickup plan;2024-05-06 04:46:27
tr21;Pcp228;Assigned truck for pickup plan;2024-05-06 04:47:31
tr39;Pcp169;Assigned truck for pickup plan;2024-05-06 04:49:18
tr44;Pcp169;Assigned truck for pickup plan;2024-05-06 04:49:27
tr10;Pcp385;Assigned truck for pickup plan;2024-05-06 04:49:55
tr35;Pcp385;Assigned truck for pickup plan;2024-05-06 04:51:11
tr23;Pcp468;Assigned truck for pickup plan;2024-05-06 04:54:24
tr27;Pcp190;Assigned truck for pickup plan;2024-05-06 04:55:02
tr46;Pcp190;Assigned truck for pickup plan;2024-05-06 04:55:39
tr43;Pcp468;Assigned truck for pickup plan;2024-05-06 04:56:02
Silo11;tr9;Aranged silo for truck;2024-05-06 04:59:03
tr45;Pcp146;Assigned truck for pickup plan;2024-05-06 05:00:08
tr33;Pcp146;Assigned truck for pickup plan;2024-05-06 05:00:13
Silo11;tr39;Aranged silo for truck;2024-05-06 05:00:35
Silo11;tr11;Aranged silo for truck;2024-05-06 05:01:34
Silo11;tr21;Aranged silo for truck;2024-05-06 05:01:53
tr11;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:04:10
tr15;Pcp234;Assigned truck for pickup plan;2024-05-06 05:05:13
tr8;Pcp234;Assigned truck for pickup plan;2024-05-06 05:05:29
tr5;Pcp245;Assigned truck for pickup plan;2024-05-06 05:05:56
Silo11;tr44;Aranged silo for truck;2024-05-06 05:06:09
tr40;Pcp245;Assigned truck for pickup plan;2024-05-06 05:06:37
tr6;Pcp119;Assigned truck for pickup plan;2024-05-06 05:06:41
tr21;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:08:30
tr18;Pcp110;Assigned truck for pickup plan;2024-05-06 05:08:34
tr19;Pcp119;Assigned truck for pickup plan;2024-05-06 05:09:19
tr25;Pcp110;Assigned truck for pickup plan;2024-05-06 05:09:19
tr39;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:09:33
Silo11;tr26;Aranged silo for truck;2024-05-06 05:10:24
tr37;Pcp81;Assigned truck for pickup plan;2024-05-06 05:10:36
tr17;Pcp81;Assigned truck for pickup plan;2024-05-06 05:12:01
tr32;Pcp287;Assigned truck for pickup plan;2024-05-06 05:12:32
tr30;Pcp128;Assigned truck for pickup plan;2024-05-06 05:12:35
tr9;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:13:05
tr4;Pcp287;Assigned truck for pickup plan;2024-05-06 05:13:31
Silo11;tr33;Aranged silo for truck;2024-05-06 05:15:45
Silo11;tr45;Aranged silo for truck;2024-05-06 05:16:09
tr49;Pcp258;Assigned truck for pickup plan;2024-05-06 05:17:27
tr44;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:17:32
Silo11;tr38;Aranged silo for truck;2024-05-06 05:17:42
tr33;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:18:29
tr7;Pcp258;Assigned truck for pickup plan;2024-05-06 05:18:42
tr31;Pcp105;Assigned truck for pickup plan;2024-05-06 05:18:56
Silo11;tr8;Aranged silo for truck;2024-05-06 05:19:16
tr14;Pcp404;Assigned truck for pickup plan;2024-05-06 05:19:57
tr28;Pcp105;Assigned truck for pickup plan;2024-05-06 05:20:00
tr45;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:20:40
Silo7;tr6;Aranged silo for truck;2024-05-06 05:21:00
Silo11;tr5;Aranged silo for truck;2024-05-06 05:21:01
tr26;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:21:17
Silo11;tr29;Aranged silo for truck;2024-05-06 05:21:46
tr1;Pcp404;Assigned truck for pickup plan;2024-05-06 05:21:55
tr38;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:23:04
tr16;Pcp440;Assigned truck for pickup plan;2024-05-06 05:23:11
tr42;Pcp440;Assigned truck for pickup plan;2024-05-06 05:23:11
Silo11;tr27;Aranged silo for truck;2024-05-06 05:23:32
Silo11;tr23;Aranged silo for truck;2024-05-06 05:23:57
Silo11;tr46;Aranged silo for truck;2024-05-06 05:24:03
tr20;Pcp82;Assigned truck for pickup plan;2024-05-06 05:24:23
tr24;Pcp82;Assigned truck for pickup plan;2024-05-06 05:24:44
tr11;Pcp228;Dropped truck from pickup plan;2024-05-06 05:25:18
Silo11;tr40;Aranged silo for truck;2024-05-06 05:25:42
tr5;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:26:46
Silo7;tr4;Aranged silo for truck;2024-05-06 05:27:33
Silo7;tr31;Aranged silo for truck;2024-05-06 05:28:22
tr8;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:28:54
Silo11;tr15;Aranged silo for truck;2024-05-06 05:29:43
Silo7;tr30;Aranged silo for truck;2024-05-06 05:29:53
Silo7;tr25;Aranged silo for truck;2024-05-06 05:29:55
tr4;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:31:03
Pcp408;Cr10;Lodged pickup plan for cargo;2024-05-06 05:31:42
tr6;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:31:46
tr46;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:31:47
tr44;Pcp169;Dropped truck from pickup plan;2024-05-06 05:31:52
Silo7;tr37;Aranged silo for truck;2024-05-06 05:31:54
Silo7;tr18;Aranged silo for truck;2024-05-06 05:32:09
tr21;Pcp228;Dropped truck from pickup plan;2024-05-06 05:32:35
tr31;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:32:57
tr29;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:33:12
Silo7;tr16;Aranged silo for truck;2024-05-06 05:33:42
Silo7;tr32;Aranged silo for truck;2024-05-06 05:33:55
tr30;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:33:58
tr23;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:34:26
Silo7;tr7;Aranged silo for truck;2024-05-06 05:35:47
Silo7;tr49;Aranged silo for truck;2024-05-06 05:37:05
Silo7;tr19;Aranged silo for truck;2024-05-06 05:37:47
tr7;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:37:56
Silo7;tr1;Aranged silo for truck;2024-05-06 05:39:20
tr32;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:40:52
tr15;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:41:41
Silo7;tr42;Aranged silo for truck;2024-05-06 05:43:27
Silo7;tr14;Aranged silo for truck;2024-05-06 05:43:28
tr27;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:43:31
Silo7;tr24;Aranged silo for truck;2024-05-06 05:44:35
tr25;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:44:59
tr40;Silo11;Truck determined for continuing pickup at silo;2024-05-06 05:45:34
tr49;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:46:11
Silo7;tr17;Aranged silo for truck;2024-05-06 05:46:19
tr42;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:47:29
tr24;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:48:02
tr18;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:48:46
Pcp45;Cr17;Lodged pickup plan for cargo;2024-05-06 05:49:17
tr4;Pcp287;Dropped truck from pickup plan;2024-05-06 05:49:46
tr33;Pcp146;Dropped truck from pickup plan;2024-05-06 05:51:24
tr16;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:51:34
tr19;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:51:44
tr37;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:51:45
tr1;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:52:46
tr5;Pcp245;Dropped truck from pickup plan;2024-05-06 05:53:50
tr14;Silo7;Truck determined for continuing pickup at silo;2024-05-06 05:54:26
Silo7;tr28;Aranged silo for truck;2024-05-06 05:56:10
Silo7;tr20;Aranged silo for truck;2024-05-06 05:57:26
tr40;Pcp245;Dropped truck from pickup plan;2024-05-06 05:59:12
tr32;Pcp287;Dropped truck from pickup plan;2024-05-06 06:00:37
tr28;Silo7;Truck determined for continuing pickup at silo;2024-05-06 06:01:42
tr17;Silo7;Truck determined for continuing pickup at silo;2024-05-06 06:02:26
tr30;Pcp128;Dropped truck from pickup plan;2024-05-06 06:05:36
tr6;Pcp119;Dropped truck from pickup plan;2024-05-06 06:06:03
tr26;Pcp415;Dropped truck from pickup plan;2024-05-06 06:08:15
tr19;Pcp119;Dropped truck from pickup plan;2024-05-06 06:08:52
Pcp141;Cr4;Lodged pickup plan for cargo;2024-05-06 06:10:19
tr23;Pcp468;Dropped truck from pickup plan;2024-05-06 06:10:23
tr37;Pcp81;Dropped truck from pickup plan;2024-05-06 06:12:35
tr15;Pcp234;Dropped truck from pickup plan;2024-05-06 06:12:52
tr38;Pcp69;Dropped truck from pickup plan;2024-05-06 06:14:39
tr39;Pcp169;Dropped truck from pickup plan;2024-05-06 06:15:55
tr20;Silo7;Truck determined for continuing pickup at silo;2024-05-06 06:16:51
tr28;Pcp105;Dropped truck from pickup plan;2024-05-06 06:17:42
tr49;Pcp258;Dropped truck from pickup plan;2024-05-06 06:18:20
tr8;Pcp234;Dropped truck from pickup plan;2024-05-06 06:30:07
tr16;Pcp440;Dropped truck from pickup plan;2024-05-06 06:30:09
tr29;Pcp69;Dropped truck from pickup plan;2024-05-06 06:33:34
tr7;Pcp258;Dropped truck from pickup plan;2024-05-06 06:35:26
tr25;Pcp110;Dropped truck from pickup plan;2024-05-06 06:37:45
tr9;Pcp415;Dropped truck from pickup plan;2024-05-06 06:39:18
tr24;Pcp82;Dropped truck from pickup plan;2024-05-06 06:43:36
tr20;Pcp82;Dropped truck from pickup plan;2024-05-06 06:44:16
tr46;Pcp190;Dropped truck from pickup plan;2024-05-06 06:45:33
