ocel_id;ocel_time;ocel_changed_field;Cargo ID;Num of trucks;Total pickup weight
Pcp454;2024-04-30 10:30:54;;Cr3;2;11315.6
Pcp434;2024-04-30 12:13:27;;Cr8;2;10581.2
Pcp208;2024-04-30 12:31:53;;Cr14;2;11664.3
Pcp105;2024-04-30 13:36:51;;Cr5;2;11080.4
Pcp290;2024-04-30 14:04:16;;Cr15;2;11032.7
Pcp296;2024-04-30 14:27:09;;Cr12;2;10748.7
Pcp161;2024-04-30 14:33:11;;Cr6;2;10103.3
Pcp240;2024-04-30 14:41:52;;Cr2;2;11468.7
Pcp415;2024-04-30 14:57:38;;Cr7;2;10249.5
Pcp270;2024-04-30 15:18:06;;Cr17;2;10849.3
Pcp170;2024-04-30 15:19:37;;Cr18;2;11808.6
Pcp226;2024-04-30 15:27:32;;Cr10;2;10135.9
Pcp103;2024-04-30 17:33:53;;Cr20;2;11614.9
Pcp4;2024-04-30 17:36:07;;Cr19;2;10874.0
Pcp73;2024-04-30 17:50:30;;Cr9;2;11740.1
Pcp14;2024-04-30 19:51:54;;Cr11;2;11182.1
Pcp396;2024-04-30 20:18:18;;Cr4;2;11734.7
Pcp451;2024-04-30 21:06:46;;Cr14;2;10817.9
Pcp126;2024-04-30 23:03:30;;Cr13;2;10344.0
Pcp365;2024-04-30 23:08:45;;Cr3;2;11306.8
Pcp151;2024-04-30 23:50:58;;Cr18;2;10194.7
Pcp35;2024-04-30 23:53:42;;Cr1;2;10218.7
Pcp85;2024-05-01 00:16:48;;Cr8;2;10073.8
Pcp258;2024-05-01 02:02:00;;Cr5;2;11917.0
Pcp7;2024-05-01 02:39:58;;Cr16;2;10999.0
Pcp76;2024-05-01 02:55:02;;Cr19;2;11308.5
Pcp284;2024-05-01 06:08:30;;Cr11;2;11158.6
Pcp48;2024-05-01 06:08:48;;Cr2;2;11748.4
Pcp433;2024-05-01 06:13:10;;Cr12;2;10282.0
Pcp155;2024-05-01 08:41:26;;Cr20;2;10933.9
Pcp403;2024-05-01 09:05:45;;Cr3;2;10580.5
Pcp88;2024-05-01 09:46:16;;Cr14;2;10763.9
Pcp436;2024-05-01 09:54:33;;Cr1;2;10320.5
Pcp158;2024-05-01 10:44:55;;Cr10;2;11881.2
Pcp93;2024-05-01 10:51:04;;Cr9;2;10518.5
Pcp468;2024-05-01 11:45:53;;Cr7;2;11242.0
Pcp249;2024-05-01 12:59:37;;Cr18;2;11844.4
Pcp56;2024-05-01 13:47:54;;Cr15;2;11931.1
Pcp306;2024-05-01 14:26:37;;Cr17;2;10029.3
Pcp70;2024-05-01 16:07:22;;Cr8;2;11605.3
Pcp217;2024-05-01 16:19:48;;Cr19;2;11209.5
Pcp185;2024-05-01 16:23:43;;Cr4;2;11647.9
Pcp466;2024-05-01 17:06:13;;Cr16;2;10634.0
Pcp369;2024-05-01 17:39:57;;Cr6;2;11761.8
Pcp379;2024-05-01 18:15:03;;Cr14;2;11565.6
Pcp1;2024-05-01 20:01:22;;Cr13;2;10983.9
Pcp253;2024-05-01 20:05:29;;Cr12;2;10702.0
Pcp82;2024-05-01 20:57:20;;Cr5;2;10864.4
Pcp342;2024-05-01 22:13:20;;Cr3;2;11296.5
Pcp338;2024-05-01 22:23:24;;Cr7;2;10289.8
Pcp209;2024-05-01 22:30:17;;Cr18;2;11449.6
Pcp498;2024-05-01 23:48:50;;Cr9;2;11661.1
Pcp168;2024-05-02 00:58:34;;Cr2;2;10011.9
Pcp459;2024-05-02 02:04:21;;Cr11;2;11339.5
Pcp211;2024-05-02 02:53:54;;Cr19;2;10925.7
Pcp343;2024-05-02 03:19:01;;Cr10;2;10448.5
Pcp404;2024-05-02 04:12:56;;Cr5;2;11345.9
Pcp419;2024-05-02 04:47:09;;Cr15;2;10498.4
Pcp346;2024-05-02 04:49:11;;Cr8;2;11342.0
Pcp36;2024-05-02 05:53:25;;Cr16;2;11465.1
Pcp330;2024-05-02 05:53:37;;Cr20;2;11592.5
Pcp220;2024-05-02 06:24:28;;Cr1;2;10636.2
Pcp464;2024-05-02 06:26:21;;Cr17;2;11647.9
Pcp34;2024-05-02 06:44:51;;Cr12;2;11628.5
Pcp146;2024-05-02 06:46:22;;Cr7;2;10455.3
Pcp339;2024-05-02 08:57:38;;Cr4;2;10330.2
Pcp487;2024-05-02 09:10:47;;Cr9;2;10849.8
Pcp374;2024-05-02 09:28:11;;Cr6;2;11319.0
Pcp438;2024-05-02 10:24:36;;Cr11;2;11575.3
Pcp99;2024-05-02 10:49:15;;Cr2;2;11148.7
Pcp367;2024-05-02 12:53:07;;Cr14;2;10382.2
Pcp228;2024-05-02 14:08:42;;Cr7;2;11657.1
Pcp205;2024-05-02 14:22:04;;Cr3;2;10383.7
Pcp166;2024-05-02 16:04:10;;Cr13;2;11679.3
Pcp311;2024-05-02 16:32:00;;Cr12;2;11192.8
Pcp174;2024-05-02 16:58:06;;Cr18;2;11086.4
Pcp77;2024-05-02 17:32:45;;Cr6;2;11981.6
Pcp431;2024-05-02 18:25:44;;Cr11;2;10168.6
Pcp495;2024-05-02 19:11:34;;Cr1;2;11575.7
Pcp450;2024-05-02 19:54:50;;Cr2;2;11945.2
Pcp38;2024-05-02 19:57:19;;Cr9;2;11744.9
Pcp198;2024-05-02 20:33:09;;Cr16;2;11450.7
Pcp469;2024-05-02 21:24:39;;Cr8;2;10359.7
Pcp190;2024-05-02 22:11:30;;Cr7;2;10270.3
Pcp440;2024-05-02 22:35:50;;Cr5;2;10530.8
Pcp214;2024-05-02 23:32:39;;Cr10;2;11240.4
Pcp224;2024-05-03 01:39:50;;Cr14;2;10806.9
Pcp443;2024-05-03 03:17:20;;Cr20;2;11418.8
Pcp22;2024-05-03 03:37:59;;Cr13;2;10781.2
Pcp252;2024-05-03 03:38:51;;Cr15;2;10304.6
Pcp279;2024-05-03 05:17:38;;Cr19;2;10959.2
Pcp482;2024-05-03 05:59:02;;Cr2;2;11459.5
Pcp460;2024-05-03 06:19:21;;Cr4;2;10978.0
Pcp221;2024-05-03 06:24:43;;Cr3;2;11661.3
Pcp162;2024-05-03 06:25:26;;Cr11;2;11624.8
Pcp287;2024-05-03 08:08:36;;Cr5;2;11550.9
Pcp421;2024-05-03 08:21:54;;Cr8;2;10853.4
Pcp117;2024-05-03 08:33:46;;Cr12;2;11510.9
Pcp182;2024-05-03 09:58:10;;Cr17;2;11591.1
Pcp234;2024-05-03 10:07:02;;Cr7;2;11085.9
Pcp389;2024-05-03 10:52:21;;Cr6;2;11545.5
Pcp186;2024-05-03 10:53:06;;Cr10;2;11693.5
Pcp124;2024-05-03 11:43:22;;Cr9;2;11823.1
Pcp447;2024-05-03 13:11:46;;Cr18;2;10013.2
Pcp410;2024-05-03 14:19:33;;Cr4;2;11694.4
Pcp177;2024-05-03 14:30:49;;Cr20;2;10512.7
Pcp428;2024-05-03 14:43:45;;Cr1;2;11915.2
Pcp94;2024-05-03 15:05:46;;Cr14;2;11093.8
Pcp271;2024-05-03 15:48:43;;Cr8;2;10220.5
Pcp248;2024-05-03 16:56:07;;Cr2;2;10824.3
Pcp411;2024-05-03 17:37:32;;Cr15;2;11286.4
Pcp196;2024-05-03 18:38:48;;Cr19;2;10259.1
Pcp479;2024-05-03 20:24:39;;Cr13;2;11782.1
Pcp281;2024-05-03 20:27:18;;Cr16;2;11753.1
Pcp121;2024-05-03 20:27:42;;Cr11;2;11000.9
Pcp81;2024-05-03 21:43:09;;Cr5;2;10029.0
Pcp197;2024-05-03 22:08:47;;Cr12;2;10313.0
Pcp223;2024-05-03 22:17:38;;Cr14;2;11630.3
Pcp230;2024-05-03 22:37:17;;Cr1;2;10670.5
Pcp314;2024-05-03 22:55:47;;Cr9;2;10653.0
Pcp414;2024-05-04 01:02:33;;Cr17;2;10158.2
Pcp397;2024-05-04 01:41:09;;Cr19;2;11172.0
Pcp72;2024-05-04 02:58:12;;Cr3;2;11648.3
Pcp427;2024-05-04 03:41:01;;Cr2;2;10659.6
Pcp327;2024-05-04 03:41:29;;Cr10;2;10552.6
Pcp169;2024-05-04 04:38:05;;Cr7;2;10665.3
Pcp128;2024-05-04 05:05:07;;Cr5;1;4576.6
Pcp20;2024-05-04 05:13:01;;Cr20;2;10293.7
Pcp430;2024-05-04 05:18:03;;Cr12;2;10460.7
Pcp452;2024-05-04 06:19:42;;Cr8;2;11363.5
Pcp341;2024-05-04 06:34:42;;Cr4;2;11002.6
Pcp354;2024-05-04 08:08:57;;Cr9;2;11473.3
Pcp467;2024-05-04 08:27:31;;Cr6;2;10840.5
Pcp23;2024-05-04 09:46:04;;Cr13;2;11400.2
Pcp179;2024-05-04 10:12:39;;Cr15;2;10241.3
Pcp432;2024-05-04 11:57:58;;Cr11;2;11478.2
Pcp213;2024-05-04 12:39:02;;Cr2;2;10922.5
Pcp64;2024-05-04 13:14:42;;Cr18;2;11893.3
Pcp423;2024-05-04 13:43:47;;Cr4;2;11158.8
Pcp293;2024-05-04 14:06:28;;Cr8;2;11825.1
Pcp171;2024-05-04 19:40:44;;Cr17;2;10186.4
Pcp207;2024-05-04 21:07:47;;Cr20;2;11809.0
Pcp470;2024-05-04 21:13:54;;Cr6;2;10860.5
Pcp74;2024-05-05 00:15:32;;Cr16;2;11284.7
Pcp113;2024-05-05 00:44:39;;Cr3;2;11063.9
Pcp476;2024-05-05 01:07:44;;Cr15;2;10242.2
Pcp285;2024-05-05 01:37:51;;Cr19;2;11353.7
Pcp275;2024-05-05 01:51:26;;Cr4;2;11692.1
Pcp336;2024-05-05 02:40:57;;Cr14;2;8789.5
Pcp104;2024-05-05 02:51:20;;Cr13;2;11000.3
Pcp334;2024-05-05 03:07:11;;Cr1;2;11723.3
Pcp153;2024-05-05 03:09:43;;Cr9;1;3294.2
Pcp363;2024-05-05 03:58:17;;Cr2;2;6060.0
Pcp204;2024-05-05 05:07:15;;Cr18;2;10694.5
Pcp383;2024-05-05 05:15:04;;Cr12;2;10544.9
Pcp398;2024-05-05 06:44:48;;Cr20;2;10428.5
Pcp194;2024-05-05 07:46:14;;Cr8;1;5993.5
Pcp202;2024-05-05 08:10:02;;Cr10;2;10113.5
Pcp370;2024-05-05 10:43:02;;Cr17;2;11128.9
Pcp49;2024-05-05 12:39:20;;Cr15;2;10532.5
Pcp435;2024-05-05 12:57:48;;Cr16;2;11776.0
Pcp163;2024-05-05 13:50:31;;Cr13;2;11442.3
Pcp303;2024-05-05 19:33:47;;Cr6;2;10593.1
Pcp263;2024-05-05 20:48:40;;Cr17;2;10062.1
Pcp388;2024-05-05 20:49:37;;Cr1;2;10071.0
Pcp362;2024-05-05 21:31:54;;Cr20;2;11562.5
Pcp456;2024-05-05 21:43:16;;Cr19;2;10465.0
Pcp309;2024-05-05 22:41:58;;Cr3;2;10518.4
Pcp193;2024-05-06 00:54:57;;Cr18;2;10272.0
Pcp478;2024-05-06 03:29:54;;Cr15;2;10947.8
Pcp408;2024-05-06 05:31:42;;Cr10;2;11481.5
Pcp45;2024-05-06 05:49:17;;Cr17;2;10365.9
Pcp141;2024-05-06 06:10:19;;Cr4;2;10778.5
Pcp102;2024-05-06 07:58:26;;Cr12;2;10808.5
Pcp473;2024-05-06 08:17:59;;Cr1;1;5169.9
Pcp382;2024-05-06 09:35:48;;Cr3;1;1423.3
Pcp380;2024-05-06 09:41:47;;Cr16;2;10131.8
Pcp86;2024-05-06 11:20:08;;Cr13;2;9578.4
Pcp236;2024-05-06 15:26:46;;Cr20;1;1764.0
Pcp237;2024-05-06 15:52:07;;Cr7;1;5235.8
Pcp484;2024-05-06 16:32:19;;Cr6;2;10249.8
Pcp344;2024-05-06 16:42:59;;Cr18;2;11384.1
Pcp175;2024-05-06 18:11:17;;Cr17;1;1865.6
Pcp260;2024-05-06 20:05:45;;Cr12;1;60.2
Pcp485;2024-05-06 20:46:08;;Cr19;2;9793.4
Pcp142;2024-05-06 23:09:07;;Cr4;2;10192.9
Pcp63;2024-05-07 00:20:41;;Cr16;1;2881.2
Pcp172;2024-05-07 00:23:49;;Cr15;2;10692.1
Pcp453;2024-05-07 02:27:57;;Cr10;2;10816.9
Pcp472;2024-05-07 02:57:19;;Cr6;2;10732.7
Pcp138;2024-05-07 08:27:45;;Cr15;2;10237.3
Pcp96;2024-05-07 10:26:23;;Cr6;2;10975.2
Pcp413;2024-05-07 11:07:00;;Cr7;1;5458.5
Pcp457;2024-05-07 13:42:12;;Cr18;1;1515.9
Pcp187;2024-05-07 17:32:28;;Cr10;2;11366.7
Pcp305;2024-05-07 20:32:26;;Cr15;1;3742.1
Pcp257;2024-05-07 22:22:20;;Cr7;1;5507.1
Pcp276;2024-05-08 00:18:42;;Cr6;1;5439.0
Pcp315;2024-05-08 01:27:18;;Cr4;2;10615.6
Pcp131;2024-05-08 07:08:56;;Cr10;2;11048.6
Pcp280;2024-05-08 15:43:11;;Cr4;1;1383.0
Pcp345;2024-05-08 15:52:10;;Cr10;2;10787.9
Pcp25;2024-05-09 01:21:10;;Cr9;1;5945.8
Pcp24;2024-05-09 02:02:38;;Cr14;1;5522.0
Pcp348;2024-05-09 05:21:09;;Cr3;1;5694.4
Pcp310;2024-05-09 06:12:16;;Cr10;1;5135.3
Pcp355;2024-05-09 17:34:13;;Cr3;1;5292.4
Pcp43;2024-05-12 18:28:24;;Cr10;1;5135.3
Pcp152;2024-05-12 22:12:11;;Cr1;1;5798.5
Pcp66;2024-05-13 14:06:38;;Cr10;1;4983.2
Pcp297;2024-05-15 01:04:12;;Cr4;1;5604.8
Pcp425;2024-05-15 12:26:09;;Cr4;1;5211.8
Pcp192;2024-05-15 13:16:05;;Cr20;1;5340.7
Pcp429;2024-05-17 00:22:13;;Cr4;1;5238.7
Pcp250;2024-05-17 07:32:53;;Cr17;1;5074.2
Pcp50;2024-05-17 18:57:10;;Cr4;1;5452.6
Pcp394;2024-05-19 01:14:36;;Cr12;1;5483.2
Pcp331;2024-05-19 04:58:46;;Cr10;1;5831.3
Pcp361;2024-05-21 11:29:14;;Cr19;1;5138.1
Pcp295;2024-05-21 20:21:39;;Cr15;1;5045.0
Pcp349;2024-05-23 03:38:47;;Cr4;1;5913.1
Pcp329;2024-05-23 04:03:33;;Cr17;1;5138.8
Pcp195;2024-05-23 06:04:35;;Cr8;1;5009.3
Pcp442;2024-05-23 16:20:32;;Cr17;1;5146.4
Pcp59;2024-05-23 16:46:14;;Cr15;1;5263.9
Pcp139;2024-05-23 19:54:36;;Cr4;1;5550.0
Pcp319;2024-05-24 00:21:44;;Cr17;1;5149.0
Pcp424;2024-05-24 08:03:42;;Cr4;1;5604.8
Pcp488;2024-05-24 10:46:38;;Cr17;1;5678.3
Pcp439;2024-05-24 10:59:23;;Cr15;1;5326.7
Pcp218;2024-05-24 18:38:09;;Cr4;1;4981.1
Pcp10;2024-05-25 08:04:33;;Cr19;1;5138.1
Pcp267;2024-05-26 02:28:16;;Cr19;1;5324.8
Pcp417;2024-05-27 00:17:15;;Cr19;1;5444.5
Pcp235;2024-05-29 08:05:51;;Cr19;1;5444.5
