RFID tag, Average Weight, Manufactured Weight, Empty Weights
rfidMVJRXE,15673.670066,15671.80012,15675.5,15656.0,15684.1,15691.1,15684.8,15682.5,15657.4,15697.4,15654.8,15687.2
rfidOIGYVC,15682.1854369,15679.7826125,15699.1,15695.5,15669.7,15689.6,15691.1,15680.1,15656.4,15686.9,15697.7,15668.2
rfidKGKHYU,15650.33695,15639.649,15666.1,15653.7,15682.1,15656.4,15659.9,15654.4,15659.6,15675.0,15688.5
rfidZEKWJR,15665.8458143,15670.0701979,15685.1,15668.4,15670.0,15652.2,15699.3,15661.9,15699.0,15651.6,15689.6,15688.1
rfidJDEWMH,15668.3263038,15663.8841888,15660.8,15661.3,15695.2,15678.5,15678.7,15668.7,15678.4,15691.9,15650.3,15671.4
rfidIDWLCS,15669.0048419,15662.9747125,15680.0,15678.2,15666.9,15693.1,15657.1,15654.9,15687.9,15692.9,15679.2
rfidEGNSMV,15662.6745328,15658.0264232,15665.0,15684.0,15666.0,15654.0,15672.9,15657.2,15681.4,15666.1,15668.6,15678.4
rfidQCYTDW,15676.910758,15678.2209169,15680.7,15681.9,15688.7,15665.5,15683.1,15671.0,15699.6,15656.5,15691.4,15679.8
rfidRCKRLL,15669.1882168,15671.7035192,15682.7,15663.4,15687.8,15660.7,15655.1,15681.2,15689.4,15659.4,15693.3,15666.5
rfidLEEHFK,15671.3174283,15671.7845856,15660.1,15686.0,15665.0,15694.4,15683.2,15674.2,15672.6,15652.8,15662.9,15683.6
rfidPCMKUV,15684.6952588,15682.3391069,15699.6,15670.9,15676.7,15677.5,15699.7,15699.0,15694.7,15682.5,15669.4
rfidUOOSAQ,15665.4502036,15672.475737,15665.2,15684.0,15683.3,15694.6,15686.0,15665.5,15675.2,15694.7,15669.5
rfidJGLUGP,15675.772368,15670.7043054,15691.1,15693.7,15689.4,15667.8,15677.4,15689.6,15682.9,15683.2,15662.6,15692.9
rfidXWLCID,15676.251299,15670.4478163,15674.5,15658.8,15683.7,15667.6,15685.2,15700.0,15688.6,15693.7,15698.0,15658.9
rfidENJOLW,15679.7846371,15678.6572948,15694.3,15677.7,15698.3,15660.2,15689.2,15672.7,15662.1,15694.8,15684.0
